iter	Passed	Remaining
589	40972	28472
590	41031	28395
591	41091	28319
592	41161	28250
593	41251	28195
594	41354	28148
595	41437	28088
596	41518	28027
597	41587	27956
598	41646	27879
599	41703	27802
600	41765	27727
601	41826	27652
602	41884	27575
603	41942	27498
604	42006	27425
605	42071	27353
606	42134	27279
607	42205	27211
608	42266	27136
609	42335	27066
610	42405	26998
611	42471	26926
612	42536	26854
613	42599	26780
614	42664	26708
615	42723	26632
616	42796	26565
617	42864	26495
618	42930	26424
619	42994	26351
620	43055	26277
621	43115	26202
622	43174	26126
623	43237	26053
624	43305	25983
625	43378	25916
626	43437	25840
627	43500	25767
628	43566	25696
629	43642	25631
630	43704	25557
631	43772	25487
632	43836	25415
633	43902	25344
634	43965	25271
635	44027	25198
636	44093	25126
637	44160	25056
638	44225	24985
639	44286	24911
640	44352	24840
641	44421	24770
642	44483	24697
643	44546	24625
644	44611	24553
645	44675	24481
646	44740	24410
647	44805	24338
648	44875	24270
649	44938	24197
650	44995	24121
651	45056	24048
652	45122	23977
653	45180	23902
654	45237	23827
655	45298	23754
656	45363	23682
657	45422	23608
658	45484	23535
659	45545	23463
660	45604	23388
661	45668	23317
662	45730	23244
663	45788	23170
664	45856	23100
665	45919	23028
666	45986	22958
667	46055	22889
668	46134	22825
669	46192	22751
670	46248	22676
671	46308	22602
672	46366	22528
673	46427	22456
674	46486	22382
675	46546	22309
676	46612	22238
677	46668	22164
678	46733	22093
679	46788	22017
680	46851	21946
681	46918	21876
682	46980	21805
683	47040	21732
684	47100	21659
685	47159	21586
686	47215	21511
687	47278	21440
688	47341	21368
689	47405	21298
690	47465	21225
691	47524	21152
692	47584	21079
693	47647	21009
694	47708	20936
695	47766	20863
696	47822	20789
697	47888	20719
698	47953	20649
699	48011	20576
700	48068	20502
701	48129	20430
702	48197	20362
703	48257	20289
704	48322	20220
705	48390	20151
706	48451	20079
707	48515	20009
708	48580	19939
709	48639	19866
710	48696	19793
711	48762	19724
712	48826	19653
713	48885	19581
714	48949	19511
715	49013	19441
716	49075	19370
717	49136	19298
718	49192	19225
719	49252	19153
720	49328	19088
721	49397	19019
722	49460	18949
723	49527	18880
724	49595	18812
725	49653	18739
726	49713	18668
727	49773	18596
728	49834	18525
729	49892	18453
730	49956	18383
731	50022	18314
732	50083	18243
733	50157	18176
734	50252	18118
735	50345	18058
736	50451	18003
737	50541	17942
738	50619	17877
739	50691	17810
740	50761	17742
741	50816	17669
742	50882	17599
743	50942	17528
744	50998	17455
745	51055	17383
746	51119	17313
747	51182	17243
748	51239	17171
749	51303	17101
750	51363	17029
751	51420	16957
752	51485	16888
753	51546	16817
754	51608	16747
755	51664	16674
756	51731	16606
757	51792	16535
758	51849	16463
759	51908	16392
760	51965	16320
761	52023	16248
762	52085	16178
763	52142	16106
764	52203	16036
765	52258	15963
766	52321	15894
767	52374	15821
768	52433	15750
769	52498	15681
770	52557	15610
771	52616	15539
772	52673	15468
773	52736	15398
774	52795	15327
775	52862	15259
776	52934	15192
777	53008	15125
778	53072	15056
779	53133	14986
780	53195	14916
781	53255	14846
782	53312	14774
783	53373	14704
784	53438	14636
785	53499	14565
786	53558	14495
787	53617	14425
788	53677	14354
789	53732	14283
790	53791	14213
791	53856	14144
792	53918	14074
793	53981	14005
794	54050	13937
795	54107	13866
796	54164	13795
797	54227	13726
798	54281	13655
799	54337	13584
800	54400	13515
801	54462	13445
802	54522	13375
803	54585	13306
804	54650	13238
805	54710	13168
806	54770	13098
807	54835	13030
808	54896	12960
809	54959	12891
810	55017	12821
811	55080	12752
812	55141	12683
813	55201	12613
814	55267	12545
815	55327	12475
816	55390	12406
817	55452	12337
818	55516	12269
819	55577	12199
820	55641	12131
821	55706	12062
822	55780	11996
823	55837	11926
824	55894	11856
825	55953	11786
826	56017	11718
827	56084	11650
828	56147	11581
829	56208	11512
830	56269	11443
831	56329	11374
832	56392	11305
833	56452	11236
834	56513	11167
835	56572	11098
836	56631	11028
837	56696	10960
838	56756	10891
839	56813	10821
840	56875	10752
841	56935	10683
842	56994	10614
843	57062	10547
844	57120	10477
845	57180	10408
846	57240	10339
847	57303	10271
848	57362	10202
849	57435	10135
850	57499	10067
851	57571	10000
852	57637	9932
853	57702	9864
854	57771	9797
855	57831	9728
856	57897	9660
857	57957	9592
858	58014	9522
859	58078	9454
860	58133	9385
861	58195	9316
862	58251	9247
863	58313	9179
864	58377	9110
865	58442	9043
866	58502	8974
867	58562	8905
868	58622	8837
869	58682	8768
870	58741	8699
871	58797	8630
872	58855	8562
873	58920	8494
874	58980	8425
875	59041	8357
876	59096	8288
877	59157	8220
878	59216	8151
879	59277	8083
880	59335	8014
881	59392	7945
882	59456	7878
883	59520	7810
884	59584	7742
885	59649	7675
886	59707	7606
887	59766	7538
888	59830	7470
889	59898	7403
890	59966	7336
891	60037	7269
892	60098	7201
893	60163	7133
894	60219	7064
895	60276	6996
896	60332	6927
897	60395	6860
898	60457	6792
899	60518	6724
900	60585	6656
901	60647	6589
902	60711	6521
903	60773	6453
904	60857	6388
905	60951	6323
906	61028	6257
907	61122	6193
908	61218	6128
909	61298	6062
910	61386	5997
911	61478	5932
912	61557	5865
913	61622	5798
914	61687	5730
915	61750	5662
916	61813	5594
917	61873	5526
918	61957	5460
919	62049	5395
920	62140	5330
921	62219	5263
922	62304	5197
923	62389	5131
924	62481	5066
925	62562	4999
926	62636	4932
927	62718	4866
928	62822	4801
929	62889	4733
930	62943	4664
931	63000	4596
932	63057	4528
933	63129	4460
934	63194	4393
935	63261	4325
936	63349	4259
937	63428	4192
938	63511	4125
939	63600	4059
940	63684	3992
941	63751	3925
942	63838	3858
943	63919	3791
944	63988	3724
945	64065	3657
946	64155	3590
947	64231	3523
948	64300	3455
949	64377	3388
950	64447	3320
951	64518	3253
952	64590	3185
953	64659	3117
954	64751	3051
955	64840	2984
956	64916	2916
957	64989	2849
958	65052	2781
959	65111	2712
960	65173	2644
961	65238	2576
962	65301	2508
963	65368	2441
964	65440	2373
965	65514	2305
966	65582	2238
967	65645	2170
968	65720	2102
969	65790	2034
970	65865	1967
971	65937	1899
972	66001	1831
973	66074	1763
974	66137	1695
975	66212	1628
976	66278	1560
977	66344	1492
978	66409	1424
979	66477	1356
980	66544	1288
981	66609	1220
982	66679	1153
983	66747	1085
984	66814	1017
985	66884	949
986	66950	881
987	67013	813
988	67076	746
989	67137	678
990	67200	610
991	67263	542
992	67322	474
993	67385	406
994	67450	338
995	67515	271
996	67578	203
997	67636	135
998	67702	67
999	67760	0
